,Tweet Awal,Tweet Bersih
15,"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",pengguna pengguna pengguna pengguna pengguna pengguna lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tg kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlunar
16,Belakangan ini kok fikiran ampas banget ya',belakangan ini kok pikiran ampas banget ya
17,Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari sama beki adalah rapi monyet xf x f x x xf x f x x
18,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',jadi cowok itu harus gantle kalau tidak gantle itu namanya banci
19,USER Slga mnr bom \xf0\x9f\x98\x82',pengguna alga mnr bom xf x f x x
20,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta
21,USER kalo kamu noob pasti peluang disakitin nya lebih gede si',pengguna kalau kamu nob pasti peluang disakiti nya lebih gede sih
22,"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",pengguna joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
23,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp
24,Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya alah siap beroperasi bulan depan
25,"Siapapun gubernur dan presidennya, rakyatnya, ya kita² juga...",siapapun gubernur dan presidennya rakyatnya ya kita juga
26,Ini si USER kerjaannya delay mulu! Setan!',ini sih pengguna kerjanya delay mulu setan
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
28,RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,rt pengguna pengguna pengguna partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong
29,USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',pengguna pengguna itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus
30,"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna islam nusantara produk jil dipasarkan dengan gencar oleh antek xc xb jil dan sementara jil anti arab tapi pro asing dan kata almarhum kh hasyim muzadi
31,Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',dari habis sahur sampai jam si bayi sudah nete x sekarang rasanya lemas tak terkira xf x f xa xa
32,USER Gak kak emak mah gak demen ama yang sipit wkwk',pengguna tidak kak emak adalah tidak suka sama yang sipit wkwk
33,"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",rt pengguna kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator
34,"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",pengguna tidak kak gue bukan orang jawa maf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang
35,Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',pegawai guardian training lagi kayak mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari
36,\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',xe x x dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe x x di sanji selamat ulang tahun thpelautjkt
37,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri
38,USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,pengguna pengguna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyatb rsamajkw
39,Edan emang goollnya fabiano!!',edan memang golnya fabiano
40,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang kafir bejat hina farhatabaslaw
41,"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",sangat terlihat beda sekali kewibawanya yang sangat berwibawa cuma gubernur indonesia pengguna masya alah
42,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,anjir baru kali ini lihat orang bego mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta
43,"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,�?? tutur Djarot di hadapan peserta Rakercabsu�?�",gubernurzamanow gusipulputi ganjar yasin djarotsihar hasananton kosterace nurdinsudirman karolingidot rt pengguna keanekaragaman budaya suku agama itulah sesunguhnya kekayan kita tutur djarot di hadapan peserta rakercabsu
44,"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",pengguna pengguna apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa
45,"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat
46,USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,pengguna pengguna positif kok nse positif respon masyarakat terhadap dan cangkul impor dan garam impor dan beras impor dan jagung impor dan tenaga kerja impor dan esemka impor dan nurl
47,"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",pengguna pengguna pengguna pengguna kata sembahyang mengadopsi tradisi lokal pada masa kerjan hindu dan istilah xc xa sembahyang xc xa pun lahir dari tradisi ritus xc xa menyembahyang yang tungal sama dengan xc xa salat menyembah al
48,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,kamu pendidikan tingi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila
49,"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",pengguna pengguna ahok the best abaikan kaum kampret otak micin
50,"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",pengguna pengguna sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dungu dan kalau tidak begitu dia tidak makan hehe
51,"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",pengguna awas jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngeden dungu xf x f x x b
52,pinokio umur 3 taonan tuh. #2019GantiPresiden,pinokio umur tahunan itu ganti presiden
53,"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",pengguna cerita silat lae xf x f x x semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina
54,RT USER benci sekali dgn Umat Islam,rt pengguna benci sekali dengan umat islam
55,"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",pengguna pengguna pengguna provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara cebong mendeskripsikan kekalahan jujungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas
56,USER dari pada gua nete',pengguna dari pada gue nete
57,USER Lol bani lowo',pengguna wkwk bani lowo
58,"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis makhluk yang alim amp telah beribadah beratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi
59,"A orang yang suka ke konser-konser, sedikit boros.",a orang yang suka ke konser konser sedikit boros
60,[ SAMPAI KAPAN MAKAN RACUN ? ],sampai kapan makan racun
61,Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,susilo bambang yudhoyono presiden ri ke meminta khofifah emil untuk dekat dengan masyarakat no bisa bagus khofifahemilnomer
62,"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",pengguna sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman gue idol gue banci homo
63,Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp,saya suka video pengguna uniform resource locator awal kisah perseteruan haji bolot amp
64,"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",budaya kafir bersunguh kalau hal islam tidak diindahkan
65,"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",pengguna pengguna pengguna pengguna xf x f x e xb lah lah lah hem hem xf x f x e xa semua diam semua bisu dan kita coba tanya sama rumput yang bergoyang dan xe x xab xe x xab xe x xab xe x xa xe x xa xe x xa
66,"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",apabila setan membisikan was was kepadamu mintalah perlindungan kepada alah qs al a xe x x raf dan fussilat
67,USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,pengguna pengguna pengguna pengguna pengguna pengguna pengguna kalau kamu ateis apa sibuk dengan agama orang
68,Lengserkan Jokowi Bangsat!!,lengserkan jokowi bangsat
69,USER Selamat hari kartini ,pengguna selamat hari kartini
70,"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",rt pengguna bajingan homo nhati terhadap anak kita terutama di kamar mandi laki jangan biarkan sendiri uniform resource locator
71,USER Iya cocot',pengguna iya cocot
72,USER karena budaya indonesia.,pengguna karena budaya indonesia
73,"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",pengguna yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam
74,USER x || Lo ngomong aja kaga bener bangke',pengguna x kamu berbicara saja tidak benar bangkai
75,USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,pengguna pengguna kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kes pembubaran sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara penjaja
76,tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa
77,Kalo seumpama orang cina di usir paksa dari indonesia gimana,kalau seumpama orang cina di usir paksa dari indonesia bagaimana
78,USER bunda ngentot yuk',pengguna bunda ngentot yuk
79,RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,rt pengguna cina babi cina maling dan usir cina t co iya hiwhjp
80,"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",bung karno anti asing dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohanya dan kalau kami keliru kami tutup akun
81,PROYEK KORUPSI REZIM SBY URL,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator
82,"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",pengguna wajar saja lihat saja tingkah berapa petingi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara
83,AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif
84,USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ,pengguna pengguna terus menurut kamu kitab suci agama apa yang di bilang om pengguna
85,USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',pengguna suka menutup mata tidak ditutup pun sudah terlihat tertutup gara sipit
86,"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",pengguna saya sebagai muslim tidak merasa pak pengguna menistakan kitab suci alquran an karena dalam alquran an sendiri ada berapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum
87,USER eh kasar kau kampang',pengguna eh kasar kamu kampang
88,"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",bentar lagi gue rilis album the onta si wkwk
89,USER Ada cebong bang dia merasa paling benar',pengguna ada cebong bang dia merasa paling benar
90,Najis banget gw ngetwit apa barusan wey',najis banget gue mentwit apa barusan he
91,Kamu transgender atau gmn anjing :( URL,kamu transgender atau bagaimana anjing uniform resource locator
92,USER awas bintitan lu ngintipin titit kucing',pengguna awas bintitan kamu mengintip titit kucing
93,"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",pengguna pengguna bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh
94,"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",pengguna pengguna pengguna pengguna gue menyarankan tidak perlu banyak bacot maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja kafir sesat liberal pemuja dukun bla bla pasti hatimu puas deh
95,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,jangan salah target bukan ahok agenda utama lengserkan jokowi
96,USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ,pengguna pengguna masa baru kena tagar saja sudah kepanasan ingin tahu banget
97,"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator
98,"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",pengguna huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutung dan nah sekarang anda saya k
99,"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau engak
100,Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,prabowo sudah kalah menyebut bantuan jokowi hanya pencitran adalah ratapan pilu
101,USER USER dan yang takut dengan adzan adalah IBLIS',pengguna pengguna dan yang takut dengan azan adalah iblis
102,USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',pengguna pengguna yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal
103,USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',pengguna pengguna pengguna pengguna wah cebong sewot dan xf x f x x xf x f x x xf x f x x
104,2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
105,Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,padahal gubernur sat ini djarot mayoritas partai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka pengguna uniform resource locator
106,"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",pengguna rezim rusak bukan memperbaiki sistemnya malah sibuk cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya
107,"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",sat orang orang saling menuding antek asing asing sesunguhnya bertepuk tangan
108,USER Nah loh katanya anti aseng',pengguna nah lah katanya anti asing
109,"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",selamat pak pengguna semoga bisa terus berkiprah bahkan tingkat nasional
110,#AsyikM3nang saya sih ikut ulama saja,asyikm di saya sih ikut ulama saja
111,USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,pengguna yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahan termasuk pt who tambang bauksit yang viral sat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak
112,USER Anak pecun... ga jauh2 dr hobi zina.. haha',pengguna anak pecun tidak jauh dari hobi zina haha
113,USER QUE BOM SBBSNSN',pengguna aku bom sbsnsn
114,"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",pengguna istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun
115,"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",pada house select comite on asasinations hsca menemukan cacat investigasi yang dilakukan fbi dan waren comision hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya
116,"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",pengguna tak terasa genap tahun mendatang april akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin
117,USER Ian pantat',pengguna ian pantat
118,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'",pengguna pengguna mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang bodoh orang yang maf sejak lahir idiot sekalipun dia kita harus hargai sebagai sesama ciptan tuhan ingat iblis itu juga pintar dan sangat licik
119,Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,pendaftaran calon presiden untuk pemilihan presiden saja belum dibuka sampai agustus yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham ganti presiden
120,Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator
121,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lah dan gue merasa jadi anak yang berengsek saja begitu ke laki
122,Cina perusak bangsa!! Usir !! Stuju??,cina perusak bangsa usir setuju
123,#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter.,ganti presiden secara konstitusional hak setiap rakyat woi begini nih kalau plonga plongo tapi kelakuan otoriter
124,Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.,mari kita wujudkan pilihan kepala daerah kota bengkulu aman dan damai
